fen,move_rank,move
r3rbk1/1p3ppp/8/P4q2/1PnN4/2P1p3/6PP/B1RQR1K1 b - - 2 25,1,"{'Move': 'f5f2', 'Centipawn': -272, 'Mate': None}"
r3rbk1/1p3ppp/8/P4q2/1PnN4/2P1p3/6PP/B1RQR1K1 b - - 2 25,2,"{'Move': 'f5g6', 'Centipawn': -239, 'Mate': None}"
r3rbk1/1p3ppp/8/P4q2/1PnN4/2P1p3/6PP/B1RQR1K1 b - - 2 25,3,"{'Move': 'f5c8', 'Centipawn': -232, 'Mate': None}"
r3rbk1/1p3ppp/8/P7/1PnN4/2P1p3/5qPP/B1RQR1K1 w - - 3 26,1,"{'Move': 'g1h1', 'Centipawn': -275, 'Mate': None}"
r3rbk1/1p3ppp/8/P7/1PnN4/2P1p3/5qPP/B1RQR2K b - - 4 26,1,"{'Move': 'c4d2', 'Centipawn': -276, 'Mate': None}"
r3rbk1/1p3ppp/8/P7/1PnN4/2P1p3/5qPP/B1RQR2K b - - 4 26,2,"{'Move': 'a8d8', 'Centipawn': -245, 'Mate': None}"
r3rbk1/1p3ppp/8/P7/1PnN4/2P1p3/5qPP/B1RQR2K b - - 4 26,3,"{'Move': 'f2h4', 'Centipawn': -244, 'Mate': None}"
3rrbk1/1p3ppp/8/P7/1PnN4/2P1p3/5qPP/B1RQR2K w - - 5 27,1,"{'Move': 'd1g4', 'Centipawn': -258, 'Mate': None}"
3rrbk1/1p3ppp/8/P7/1PnN4/2P1p3/5qPP/B1RQR2K w - - 5 27,2,"{'Move': 'e1e2', 'Centipawn': -271, 'Mate': None}"
3rrbk1/1p3ppp/8/P7/1PnN4/2P1p3/5qPP/B1RQR2K w - - 5 27,3,"{'Move': 'd1d3', 'Centipawn': -273, 'Mate': None}"
3rrbk1/1p3ppp/8/P7/1PnN4/2P1pQ2/5qPP/B1R1R2K b - - 6 27,1,"{'Move': 'c4d2', 'Centipawn': -334, 'Mate': None}"
3rrbk1/1p3ppp/8/P7/1PnN4/2P1pQ2/5qPP/B1R1R2K b - - 6 27,2,"{'Move': 'f2h4', 'Centipawn': -281, 'Mate': None}"
3rrbk1/1p3ppp/8/P7/1PnN4/2P1pQ2/5qPP/B1R1R2K b - - 6 27,3,"{'Move': 'f2f3', 'Centipawn': -260, 'Mate': None}"
3rrbk1/1p3ppp/8/P7/1PnN4/2P1pq2/6PP/B1R1R2K w - - 0 28,1,"{'Move': 'g2f3', 'Centipawn': -242, 'Mate': None}"
3rrbk1/1p3ppp/8/P7/1PnN4/2P1pq2/6PP/B1R1R2K w - - 0 28,2,"{'Move': 'd4f3', 'Centipawn': -286, 'Mate': None}"
3rrbk1/1p3ppp/8/P7/1PnN4/2P1pq2/6PP/B1R1R2K w - - 0 28,3,"{'Move': 'a5a6', 'Centipawn': -765, 'Mate': None}"
3rrbk1/1p3ppp/8/P7/1PnN4/2P1pP2/7P/B1R1R2K b - - 0 28,1,"{'Move': 'f7f5', 'Centipawn': -265, 'Mate': None}"
3rrbk1/1p3ppp/8/P7/1PnN4/2P1pP2/7P/B1R1R2K b - - 0 28,2,"{'Move': 'd8d5', 'Centipawn': -247, 'Mate': None}"
3rrbk1/1p3ppp/8/P7/1PnN4/2P1pP2/7P/B1R1R2K b - - 0 28,3,"{'Move': 'f8e7', 'Centipawn': -233, 'Mate': None}"
3rr1k1/1p2bppp/8/P7/1PnN4/2P1pP2/7P/B1R1R2K w - - 1 29,1,"{'Move': 'e1e2', 'Centipawn': -248, 'Mate': None}"
3rr1k1/1p2bppp/8/P7/1PnN4/2P1pP2/7P/B1R1R2K w - - 1 29,2,"{'Move': 'h1g1', 'Centipawn': -264, 'Mate': None}"
3rr1k1/1p2bppp/8/P7/1PnN4/2P1pP2/7P/B1R1R2K w - - 1 29,3,"{'Move': 'h1g2', 'Centipawn': -264, 'Mate': None}"
3rr1k1/1p2bppp/8/P7/1PnN4/2P1pP2/2R4P/B3R2K b - - 2 29,1,"{'Move': 'e7h4', 'Centipawn': -280, 'Mate': None}"
3rr1k1/1p2bppp/8/P7/1PnN4/2P1pP2/2R4P/B3R2K b - - 2 29,2,"{'Move': 'h7h5', 'Centipawn': -259, 'Mate': None}"
3rr1k1/1p2bppp/8/P7/1PnN4/2P1pP2/2R4P/B3R2K b - - 2 29,3,"{'Move': 'd8d5', 'Centipawn': -257, 'Mate': None}"
3rr1k1/1p3ppp/8/P5b1/1PnN4/2P1pP2/2R4P/B3R2K w - - 3 30,1,"{'Move': 'a1b2', 'Centipawn': -235, 'Mate': None}"
3rr1k1/1p3ppp/8/P5b1/1PnN4/2P1pP2/2R4P/B3R2K w - - 3 30,2,"{'Move': 'h2h3', 'Centipawn': -241, 'Mate': None}"
3rr1k1/1p3ppp/8/P5b1/1PnN4/2P1pP2/2R4P/B3R2K w - - 3 30,3,"{'Move': 'e1e2', 'Centipawn': -245, 'Mate': None}"
3rr1k1/1p3ppp/8/P5b1/1PnN4/2P1pP2/1BR4P/4R2K b - - 4 30,1,"{'Move': 'f7f5', 'Centipawn': -272, 'Mate': None}"
3rr1k1/1p3ppp/8/P5b1/1PnN4/2P1pP2/1BR4P/4R2K b - - 4 30,2,"{'Move': 'd8d5', 'Centipawn': -257, 'Mate': None}"
3rr1k1/1p3ppp/8/P5b1/1PnN4/2P1pP2/1BR4P/4R2K b - - 4 30,3,"{'Move': 'g5h4', 'Centipawn': -238, 'Mate': None}"
3rr1k1/1p3ppp/8/P3n1b1/1P1N4/2P1pP2/1BR4P/4R2K w - - 5 31,1,"{'Move': 'e1g1', 'Centipawn': -195, 'Mate': None}"
3rr1k1/1p3ppp/8/P3n1b1/1P1N4/2P1pP2/1BR4P/4R2K w - - 5 31,2,"{'Move': 'b2c1', 'Centipawn': -201, 'Mate': None}"
3rr1k1/1p3ppp/8/P3n1b1/1P1N4/2P1pP2/1BR4P/4R2K w - - 5 31,3,"{'Move': 'e1a1', 'Centipawn': -203, 'Mate': None}"
3rr1k1/1p3ppp/8/P3n1b1/1P1N4/2P1pP2/2R4P/2B1R2K b - - 6 31,1,"{'Move': 'f7f5', 'Centipawn': -210, 'Mate': None}"
3rr1k1/1p3ppp/8/P3n1b1/1P1N4/2P1pP2/2R4P/2B1R2K b - - 6 31,2,"{'Move': 'h7h6', 'Centipawn': -202, 'Mate': None}"
3rr1k1/1p3ppp/8/P3n1b1/1P1N4/2P1pP2/2R4P/2B1R2K b - - 6 31,3,"{'Move': 'e5d3', 'Centipawn': -194, 'Mate': None}"
3rr1k1/1p3ppp/8/P5b1/1P1N4/2PnpP2/2R4P/2B1R2K w - - 7 32,1,"{'Move': 'e1g1', 'Centipawn': -203, 'Mate': None}"
3rr1k1/1p3ppp/8/P5b1/1P1N4/2PnpP2/2R4P/2B1R2K w - - 7 32,2,"{'Move': 'e1e2', 'Centipawn': -274, 'Mate': None}"
3rr1k1/1p3ppp/8/P5b1/1P1N4/2PnpP2/2R4P/2B1R2K w - - 7 32,3,"{'Move': 'e1f1', 'Centipawn': -289, 'Mate': None}"
3rr1k1/1p3ppp/8/P5b1/1P1N4/2PnpP2/2R1R2P/2B4K b - - 8 32,1,"{'Move': 'h7h5', 'Centipawn': -291, 'Mate': None}"
3rr1k1/1p3ppp/8/P5b1/1P1N4/2PnpP2/2R1R2P/2B4K b - - 8 32,2,"{'Move': 'd8d5', 'Centipawn': -291, 'Mate': None}"
3rr1k1/1p3ppp/8/P5b1/1P1N4/2PnpP2/2R1R2P/2B4K b - - 8 32,3,"{'Move': 'g5f4', 'Centipawn': -236, 'Mate': None}"
3rr1k1/1p3ppp/8/P5b1/1P1N4/2P1pP2/2R1Rn1P/2B4K w - - 9 33,1,"{'Move': 'h1g1', 'Centipawn': -240, 'Mate': None}"
3rr1k1/1p3ppp/8/P5b1/1P1N4/2P1pP2/2R1Rn1P/2B4K w - - 9 33,2,"{'Move': 'h1g2', 'Centipawn': -242, 'Mate': None}"
3rr1k1/1p3ppp/8/P5b1/1P1N4/2P1pP2/2R1Rn1P/2B4K w - - 9 33,3,"{'Move': 'e2f2', 'Centipawn': -471, 'Mate': None}"
3rr1k1/1p3ppp/8/P5b1/1P1N4/2P1pP2/2R1RnKP/2B5 b - - 10 33,1,"{'Move': 'f2d3', 'Centipawn': -221, 'Mate': None}"
3rr1k1/1p3ppp/8/P5b1/1P1N4/2P1pP2/2R1RnKP/2B5 b - - 10 33,2,"{'Move': 'f2d1', 'Centipawn': -14, 'Mate': None}"
3rr1k1/1p3ppp/8/P5b1/1P1N4/2P1pP2/2R1RnKP/2B5 b - - 10 33,3,"{'Move': 'g5h6', 'Centipawn': 166, 'Mate': None}"
3rr1k1/1p3ppp/7b/P7/1P1N4/2P1pP2/2R1RnKP/2B5 w - - 11 34,1,"{'Move': 'd4f5', 'Centipawn': 185, 'Mate': None}"
3rr1k1/1p3ppp/7b/P7/1P1N4/2P1pP2/2R1RnKP/2B5 w - - 11 34,2,"{'Move': 'f3f4', 'Centipawn': 63, 'Mate': None}"
3rr1k1/1p3ppp/7b/P7/1P1N4/2P1pP2/2R1RnKP/2B5 w - - 11 34,3,"{'Move': 'g2f1', 'Centipawn': 19, 'Mate': None}"
3rr1k1/1p3ppp/7b/P7/1P1N4/2P1pP2/R3RnKP/2B5 b - - 12 34,1,"{'Move': 'f2d3', 'Centipawn': -281, 'Mate': None}"
3rr1k1/1p3ppp/7b/P7/1P1N4/2P1pP2/R3RnKP/2B5 b - - 12 34,2,"{'Move': 'g8f8', 'Centipawn': -24, 'Mate': None}"
3rr1k1/1p3ppp/7b/P7/1P1N4/2P1pP2/R3RnKP/2B5 b - - 12 34,3,"{'Move': 'f2d1', 'Centipawn': -17, 'Mate': None}"
3r2k1/1p3ppp/7b/P3r3/1P1N4/2P1pP2/R3RnKP/2B5 w - - 13 35,1,"{'Move': 'f3f4', 'Centipawn': 171, 'Mate': None}"
3r2k1/1p3ppp/7b/P3r3/1P1N4/2P1pP2/R3RnKP/2B5 w - - 13 35,2,"{'Move': 'a5a6', 'Centipawn': 84, 'Mate': None}"
3r2k1/1p3ppp/7b/P3r3/1P1N4/2P1pP2/R3RnKP/2B5 w - - 13 35,3,"{'Move': 'e2f2', 'Centipawn': 0, 'Mate': None}"
3r2k1/1p3ppp/7b/P3r3/1P1N3P/2P1pP2/R3RnK1/2B5 b - - 0 35,1,"{'Move': 'f2d3', 'Centipawn': -244, 'Mate': None}"
3r2k1/1p3ppp/7b/P3r3/1P1N3P/2P1pP2/R3RnK1/2B5 b - - 0 35,2,"{'Move': 'f2d1', 'Centipawn': 0, 'Mate': None}"
3r2k1/1p3ppp/7b/P3r3/1P1N3P/2P1pP2/R3RnK1/2B5 b - - 0 35,3,"{'Move': 'e5e8', 'Centipawn': 2, 'Mate': None}"
6k1/1p3ppp/3r3b/P3r3/1P1N3P/2P1pP2/R3RnK1/2B5 w - - 1 36,1,"{'Move': 'f3f4', 'Centipawn': 287, 'Mate': None}"
6k1/1p3ppp/3r3b/P3r3/1P1N3P/2P1pP2/R3RnK1/2B5 w - - 1 36,2,"{'Move': 'b4b5', 'Centipawn': 186, 'Mate': None}"
6k1/1p3ppp/3r3b/P3r3/1P1N3P/2P1pP2/R3RnK1/2B5 w - - 1 36,3,"{'Move': 'c1e3', 'Centipawn': 77, 'Mate': None}"
6k1/1p3ppp/3r3b/PP2r3/3N3P/2P1pP2/R3RnK1/2B5 b - - 0 36,1,"{'Move': 'f2d1', 'Centipawn': 263, 'Mate': None}"
6k1/1p3ppp/3r3b/PP2r3/3N3P/2P1pP2/R3RnK1/2B5 b - - 0 36,2,"{'Move': 'e5e8', 'Centipawn': 264, 'Mate': None}"
6k1/1p3ppp/3r3b/PP2r3/3N3P/2P1pP2/R3RnK1/2B5 b - - 0 36,3,"{'Move': 'd6g6', 'Centipawn': 296, 'Mate': None}"
6k1/1p3ppp/6rb/PP2r3/3N3P/2P1pP2/R3RnK1/2B5 w - - 1 37,1,"{'Move': 'g2f1', 'Centipawn': 280, 'Mate': None}"
6k1/1p3ppp/6rb/PP2r3/3N3P/2P1pP2/R3RnK1/2B5 w - - 1 37,2,"{'Move': 'g2h2', 'Centipawn': None, 'Mate': -1}"
6k1/1p3ppp/6rb/PP2r3/3N3P/2P1pP2/R3Rn2/2B2K2 b - - 2 37,1,"{'Move': 'f2h3', 'Centipawn': 302, 'Mate': None}"
6k1/1p3ppp/6rb/PP2r3/3N3P/2P1pP2/R3Rn2/2B2K2 b - - 2 37,2,"{'Move': 'f2h1', 'Centipawn': 320, 'Mate': None}"
6k1/1p3ppp/6rb/PP2r3/3N3P/2P1pP2/R3Rn2/2B2K2 b - - 2 37,3,"{'Move': 'e5e8', 'Centipawn': 329, 'Mate': None}"
6k1/1p3ppp/6rb/PP5r/3N3P/2P1pP2/R3Rn2/2B2K2 w - - 3 38,1,"{'Move': 'c1e3', 'Centipawn': 509, 'Mate': None}"
6k1/1p3ppp/6rb/PP5r/3N3P/2P1pP2/R3Rn2/2B2K2 w - - 3 38,2,"{'Move': 'a5a6', 'Centipawn': 438, 'Mate': None}"
6k1/1p3ppp/6rb/PP5r/3N3P/2P1pP2/R3Rn2/2B2K2 w - - 3 38,3,"{'Move': 'd4c6', 'Centipawn': 361, 'Mate': None}"
6k1/1p3ppp/6rb/PP5r/3N3P/2P1BP2/R3Rn2/5K2 b - - 0 38,1,"{'Move': 'h5b5', 'Centipawn': 549, 'Mate': None}"
6k1/1p3ppp/6rb/PP5r/3N3P/2P1BP2/R3Rn2/5K2 b - - 0 38,2,"{'Move': 'h6e3', 'Centipawn': 555, 'Mate': None}"
6k1/1p3ppp/6rb/PP5r/3N3P/2P1BP2/R3Rn2/5K2 b - - 0 38,3,"{'Move': 'h5h4', 'Centipawn': 564, 'Mate': None}"
6k1/1p3ppp/6r1/PP5r/3N3P/2P1bP2/R3Rn2/5K2 w - - 0 39,1,"{'Move': 'e2e3', 'Centipawn': 553, 'Mate': None}"
6k1/1p3ppp/6r1/PP5r/3N3P/2P1bP2/R3Rn2/5K2 w - - 0 39,2,"{'Move': 'd4c2', 'Centipawn': 218, 'Mate': None}"
6k1/1p3ppp/6r1/PP5r/3N3P/2P1bP2/R3Rn2/5K2 w - - 0 39,3,"{'Move': 'e2f2', 'Centipawn': 147, 'Mate': None}"
6k1/1p3ppp/6r1/PP5r/3N3P/2P1RP2/R4n2/5K2 b - - 0 39,1,"{'Move': 'f7f5', 'Centipawn': 565, 'Mate': None}"
6k1/1p3ppp/6r1/PP5r/3N3P/2P1RP2/R4n2/5K2 b - - 0 39,2,"{'Move': 'h7h6', 'Centipawn': 565, 'Mate': None}"
6k1/1p3ppp/6r1/PP5r/3N3P/2P1RP2/R4n2/5K2 b - - 0 39,3,"{'Move': 'f7f6', 'Centipawn': 576, 'Mate': None}"
6k1/1p3ppp/6r1/PP5r/3N3P/2P1RP1n/R7/5K2 w - - 1 40,1,"{'Move': 'e3e8', 'Centipawn': None, 'Mate': 1}"
6k1/1p3ppp/6r1/PP5r/3N3P/2P1RP1n/R7/5K2 w - - 1 40,2,"{'Move': 'a5a6', 'Centipawn': 567, 'Mate': None}"
6k1/1p3ppp/6r1/PP5r/3N3P/2P1RP1n/R7/5K2 w - - 1 40,3,"{'Move': 'a2h2', 'Centipawn': 478, 'Mate': None}"
r2qk2r/pppnbppp/5n2/3p4/3P4/5N2/PPP2PPP/RNBQ1RK1 w kq - 2 8,1,"{'Move': 'f1e1', 'Centipawn': 0, 'Mate': None}"
r2qk2r/pppnbppp/5n2/3p4/3P4/5N2/PPP2PPP/RNBQR1K1 b kq - 3 8,1,"{'Move': 'e8g8', 'Centipawn': 5, 'Mate': None}"
r2q1rk1/pppnbppp/5n2/3p4/3P4/5N2/PPP2PPP/RNBQR1K1 w - - 4 9,1,"{'Move': 'c1f4', 'Centipawn': 0, 'Mate': None}"
r2q1rk1/pppnbppp/5n2/3p4/3P1B2/5N2/PPP2PPP/RN1QR1K1 b - - 5 9,1,"{'Move': 'c7c6', 'Centipawn': -1, 'Mate': None}"
r2q1rk1/pp1nbppp/2p2n2/3p4/3P1B2/5N2/PPP2PPP/RN1QR1K1 w - - 0 10,1,"{'Move': 'h2h3', 'Centipawn': 3, 'Mate': None}"
r2q1rk1/pp1nbppp/2p2n2/3p4/3P1B2/5N1P/PPP2PP1/RN1QR1K1 b - - 0 10,1,"{'Move': 'f8e8', 'Centipawn': 0, 'Mate': None}"
r2qr1k1/pp1nbppp/2p2n2/3p4/3P1B2/5N1P/PPP2PP1/RN1QR1K1 w - - 1 11,1,"{'Move': 'c2c3', 'Centipawn': 2, 'Mate': None}"
r2qr1k1/pp1nbppp/2p2n2/3p4/3P1B2/2P2N1P/PP3PP1/RN1QR1K1 b - - 0 11,1,"{'Move': 'f6e4', 'Centipawn': 3, 'Mate': None}"
r2qr1k1/pp1nbppp/2p5/3p4/3PnB2/2P2N1P/PP3PP1/RN1QR1K1 w - - 1 12,1,"{'Move': 'b1d2', 'Centipawn': 2, 'Mate': None}"
r2qr1k1/pp1nbppp/2p5/3p4/3PnB2/2P2N1P/PP1N1PP1/R2QR1K1 b - - 2 12,1,"{'Move': 'e7d6', 'Centipawn': 3, 'Mate': None}"
r2qkb1r/pp1n1ppp/2p2n2/3p4/3P4/5N2/PPP2PPP/RNBQ1RK1 w kq - 0 8,2,"{'Move': 'd1e2', 'Centipawn': 26, 'Mate': None}"
r2qkb1r/pp1n1ppp/2p2n2/3p4/3P4/5N2/PPP1QPPP/RNB2RK1 b kq - 1 8,2,"{'Move': 'f8e7', 'Centipawn': 25, 'Mate': None}"
r2qk2r/pp1nbppp/2p2n2/3p4/3P4/5N2/PPP1QPPP/RNB2RK1 w kq - 2 9,2,"{'Move': 'f1e1', 'Centipawn': 23, 'Mate': None}"
r2qk2r/pp1nbppp/2p2n2/3p4/3P4/5N2/PPP1QPPP/RNB1R1K1 b kq - 3 9,2,"{'Move': 'd7f8', 'Centipawn': 23, 'Mate': None}"
r2qkn1r/pp2bppp/2p2n2/3p4/3P4/5N2/PPP1QPPP/RNB1R1K1 w kq - 4 10,2,"{'Move': 'c2c3', 'Centipawn': 21, 'Mate': None}"
r2qkn1r/pp2bppp/2p2n2/3p4/3P4/2P2N2/PP2QPPP/RNB1R1K1 b kq - 0 10,2,"{'Move': 'f8g6', 'Centipawn': 19, 'Mate': None}"
r2qk2r/pp2bppp/2p2nn1/3p4/3P4/2P2N2/PP2QPPP/RNB1R1K1 w kq - 1 11,2,"{'Move': 'f3e5', 'Centipawn': 25, 'Mate': None}"
r2qk2r/pp2bppp/2p2nn1/3pN3/3P4/2P5/PP2QPPP/RNB1R1K1 b kq - 2 11,2,"{'Move': 'f6e4', 'Centipawn': 24, 'Mate': None}"
r2qk2r/pp2bppp/2p3n1/3pN3/3Pn3/2P5/PP2QPPP/RNB1R1K1 w kq - 3 12,2,"{'Move': 'b1d2', 'Centipawn': 23, 'Mate': None}"
r2qk2r/pp2bppp/2p3n1/3pN3/3Pn3/2P5/PP1NQPPP/R1B1R1K1 b kq - 4 12,2,"{'Move': 'g6e5', 'Centipawn': 24, 'Mate': None}"
r2qkb1r/1ppn1ppp/p4n2/3p4/3P4/5N2/PPP2PPP/RNBQ1RK1 w kq - 0 8,3,"{'Move': 'd1e2', 'Centipawn': 37, 'Mate': None}"
r2qkb1r/1ppn1ppp/p4n2/3p4/3P4/5N2/PPP1QPPP/RNB2RK1 b kq - 1 8,3,"{'Move': 'f8e7', 'Centipawn': 41, 'Mate': None}"
r2qk2r/1ppnbppp/p4n2/3p4/3P4/5N2/PPP1QPPP/RNB2RK1 w kq - 2 9,3,"{'Move': 'f1e1', 'Centipawn': 35, 'Mate': None}"
r2qk2r/1ppnbppp/p4n2/3p4/3P4/5N2/PPP1QPPP/RNB1R1K1 b kq - 3 9,3,"{'Move': 'd7f8', 'Centipawn': 54, 'Mate': None}"
r2qkn1r/1pp1bppp/p4n2/3p4/3P4/5N2/PPP1QPPP/RNB1R1K1 w kq - 4 10,3,"{'Move': 'c2c3', 'Centipawn': 35, 'Mate': None}"
r2qkn1r/1pp1bppp/p4n2/3p4/3P4/2P2N2/PP2QPPP/RNB1R1K1 b kq - 0 10,3,"{'Move': 'd8d6', 'Centipawn': 28, 'Mate': None}"
r3kn1r/1pp1bppp/p2q1n2/3p4/3P4/2P2N2/PP2QPPP/RNB1R1K1 w kq - 1 11,3,"{'Move': 'c1f4', 'Centipawn': 36, 'Mate': None}"
r3kn1r/1pp1bppp/p2q1n2/3p4/3P1B2/2P2N2/PP2QPPP/RN2R1K1 b kq - 2 11,3,"{'Move': 'd6d8', 'Centipawn': 33, 'Mate': None}"
r2qkn1r/1pp1bppp/p4n2/3p4/3P1B2/2P2N2/PP2QPPP/RN2R1K1 w kq - 3 12,3,"{'Move': 'f4g3', 'Centipawn': 35, 'Mate': None}"
r2qkn1r/1pp1bppp/p4n2/3p4/3P4/2P2NB1/PP2QPPP/RN2R1K1 b kq - 4 12,3,"{'Move': 'f8e6', 'Centipawn': 37, 'Mate': None}"
r3rbk1/pp3ppp/1n6/1N1p4/1Pq1n3/2P2N2/PB3PPP/2RQR1K1 w - - 13 18,1,"{'Move': 'd1e2', 'Centipawn': -186, 'Mate': None}"
r3rbk1/pp3ppp/1n6/1N1p4/1Pq1n3/2P2N2/PB2QPPP/2R1R1K1 b - - 14 18,1,"{'Move': 'e4g5', 'Centipawn': -201, 'Mate': None}"
r3rbk1/pp3ppp/1n6/1N1p2n1/1Pq5/2P2N2/PB2QPPP/2R1R1K1 w - - 15 19,1,"{'Move': 'e2c4', 'Centipawn': -194, 'Mate': None}"
r3rbk1/pp3ppp/1n6/1N1p2n1/1PQ5/2P2N2/PB3PPP/2R1R1K1 b - - 0 19,1,"{'Move': 'g5f3', 'Centipawn': -197, 'Mate': None}"
r3rbk1/pp3ppp/1n6/1N1p4/1PQ5/2P2n2/PB3PPP/2R1R1K1 w - - 0 20,1,"{'Move': 'g2f3', 'Centipawn': -185, 'Mate': None}"
r3rbk1/pp3ppp/1n6/1N1p4/1PQ5/2P2P2/PB3P1P/2R1R1K1 b - - 0 20,1,"{'Move': 'd5c4', 'Centipawn': -199, 'Mate': None}"
r3rbk1/pp3ppp/1n6/1N6/1Pp5/2P2P2/PB3P1P/2R1R1K1 w - - 0 21,1,"{'Move': 'b5d4', 'Centipawn': -197, 'Mate': None}"
r3rbk1/pp3ppp/1n6/8/1PpN4/2P2P2/PB3P1P/2R1R1K1 b - - 1 21,1,"{'Move': 'g7g6', 'Centipawn': -201, 'Mate': None}"
r3rbk1/pp3p1p/1n4p1/8/1PpN4/2P2P2/PB3P1P/2R1R1K1 w - - 0 22,1,"{'Move': 'g1f1', 'Centipawn': -212, 'Mate': None}"
r3rbk1/pp3p1p/1n4p1/8/1PpN4/2P2P2/PB3P1P/2R1RK2 b - - 1 22,1,"{'Move': 'e8e1', 'Centipawn': -225, 'Mate': None}"
r3rbk1/pp1q1ppp/1n6/1N1p4/1P2n3/2P2N2/PB3PPP/2RQR1K1 w - - 13 18,2,"{'Move': 'b5a3', 'Centipawn': -149, 'Mate': None}"
r3rbk1/pp1q1ppp/1n6/3p4/1P2n3/N1P2N2/PB3PPP/2RQR1K1 b - - 14 18,2,"{'Move': 'a7a5', 'Centipawn': -151, 'Mate': None}"
r3rbk1/1p1q1ppp/1n6/p2p4/1P2n3/N1P2N2/PB3PPP/2RQR1K1 w - - 0 19,2,"{'Move': 'd1b3', 'Centipawn': -158, 'Mate': None}"
r3rbk1/1p1q1ppp/1n6/p2p4/1P2n3/NQP2N2/PB3PPP/2R1R1K1 b - - 1 19,2,"{'Move': 'd7a4', 'Centipawn': -144, 'Mate': None}"
r3rbk1/1p3ppp/1n6/p2p4/qP2n3/NQP2N2/PB3PPP/2R1R1K1 w - - 2 20,2,"{'Move': 'e1e2', 'Centipawn': -167, 'Mate': None}"
r3rbk1/1p3ppp/1n6/p2p4/qP2n3/NQP2N2/PB2RPPP/2R3K1 b - - 3 20,2,"{'Move': 'e4g5', 'Centipawn': -163, 'Mate': None}"
r3rbk1/1p3ppp/1n6/p2p2n1/qP6/NQP2N2/PB2RPPP/2R3K1 w - - 4 21,2,"{'Move': 'f3d4', 'Centipawn': -168, 'Mate': None}"
r3rbk1/1p3ppp/1n6/p2p2n1/qP1N4/NQP5/PB2RPPP/2R3K1 b - - 5 21,2,"{'Move': 'e8e2', 'Centipawn': -160, 'Mate': None}"
r4bk1/1p3ppp/1n6/p2p2n1/qP1N4/NQP5/PB2rPPP/2R3K1 w - - 0 22,2,"{'Move': 'd4e2', 'Centipawn': -160, 'Mate': None}"
r4bk1/1p3ppp/1n6/p2p2n1/qP6/NQP5/PB2NPPP/2R3K1 b - - 0 22,2,"{'Move': 'a5b4', 'Centipawn': -143, 'Mate': None}"
r2qrbk1/pp3ppp/1n6/1N1p4/1P2n3/2P2N2/PB3PPP/2RQR1K1 w - - 13 18,3,"{'Move': 'c1c2', 'Centipawn': -107, 'Mate': None}"
r2qrbk1/pp3ppp/1n6/1N1p4/1P2n3/2P2N2/PBR2PPP/3QR1K1 b - - 14 18,3,"{'Move': 'a7a6', 'Centipawn': -102, 'Mate': None}"
r2qrbk1/1p3ppp/pn6/1N1p4/1P2n3/2P2N2/PBR2PPP/3QR1K1 w - - 0 19,3,"{'Move': 'b5d4', 'Centipawn': -111, 'Mate': None}"
r2qrbk1/1p3ppp/pn6/3p4/1P1Nn3/2P2N2/PBR2PPP/3QR1K1 b - - 1 19,3,"{'Move': 'b6a4', 'Centipawn': -107, 'Mate': None}"
r2qrbk1/1p3ppp/p7/3p4/nP1Nn3/2P2N2/PBR2PPP/3QR1K1 w - - 2 20,3,"{'Move': 'b2a1', 'Centipawn': -102, 'Mate': None}"
r2qrbk1/1p3ppp/p7/3p4/nP1Nn3/2P2N2/P1R2PPP/B2QR1K1 b - - 3 20,3,"{'Move': 'a8c8', 'Centipawn': -114, 'Mate': None}"
2rqrbk1/1p3ppp/p7/3p4/nP1Nn3/2P2N2/P1R2PPP/B2QR1K1 w - - 4 21,3,"{'Move': 'a2a3', 'Centipawn': -117, 'Mate': None}"
2rqrbk1/1p3ppp/p7/3p4/nP1Nn3/P1P2N2/2R2PPP/B2QR1K1 b - - 0 21,3,"{'Move': 'b7b5', 'Centipawn': -108, 'Mate': None}"
2rqrbk1/5ppp/p7/1p1p4/nP1Nn3/P1P2N2/2R2PPP/B2QR1K1 w - - 0 22,3,"{'Move': 'd1d3', 'Centipawn': -121, 'Mate': None}"
2rqrbk1/5ppp/p7/1p1p4/nP1Nn3/P1PQ1N2/2R2PPP/B3R1K1 b - - 1 22,3,"{'Move': 'g7g6', 'Centipawn': -118, 'Mate': None}"
r1q1rbk1/1p3ppp/p4n2/1N1p4/PPnN4/2P2P2/6PP/B1RQR1K1 w - - 1 22,1,"{'Move': 'b5a3', 'Centipawn': -487, 'Mate': None}"
r1q1rbk1/1p3ppp/p4n2/3p4/PPnN4/N1P2P2/6PP/B1RQR1K1 b - - 2 22,1,"{'Move': 'c4a3', 'Centipawn': -489, 'Mate': None}"
r1q1rbk1/1p3ppp/p4n2/3p4/PP1N4/n1P2P2/6PP/B1RQR1K1 w - - 0 23,1,"{'Move': 'c3c4', 'Centipawn': -494, 'Mate': None}"
r1q1rbk1/1p3ppp/p4n2/3p4/PPPN4/n4P2/6PP/B1RQR1K1 b - - 0 23,1,"{'Move': 'e8e1', 'Centipawn': -494, 'Mate': None}"
r1q2bk1/1p3ppp/p4n2/3p4/PPPN4/n4P2/6PP/B1RQr1K1 w - - 0 24,1,"{'Move': 'd1e1', 'Centipawn': -481, 'Mate': None}"
