fen,move_rank,move
rn1qkb1r/pppB1ppp/5n2/3p4/3P4/5N2/PPP2PPP/RNBQK2R b KQkq - 0 6,1,"{'Move': 'b8d7', 'Centipawn': -2, 'Mate': None}"
rn1qkb1r/pppB1ppp/5n2/3p4/3P4/5N2/PPP2PPP/RNBQK2R b KQkq - 0 6,2,"{'Move': 'd8d7', 'Centipawn': 8, 'Mate': None}"
rn1qkb1r/pppB1ppp/5n2/3p4/3P4/5N2/PPP2PPP/RNBQK2R b KQkq - 0 6,3,"{'Move': 'f6d7', 'Centipawn': 29, 'Mate': None}"
r2qkb1r/pppn1ppp/5n2/3p4/3P4/5N2/PPP2PPP/RNBQK2R w KQkq - 0 7,1,"{'Move': 'e1g1', 'Centipawn': 1, 'Mate': None}"
r2qkb1r/pppn1ppp/5n2/3p4/3P4/5N2/PPP2PPP/RNBQK2R w KQkq - 0 7,2,"{'Move': 'a2a4', 'Centipawn': -10, 'Mate': None}"
r2qkb1r/pppn1ppp/5n2/3p4/3P4/5N2/PPP2PPP/RNBQK2R w KQkq - 0 7,3,"{'Move': 'd1d3', 'Centipawn': -11, 'Mate': None}"
r2qkb1r/pppn1ppp/5n2/3p4/3P4/5N2/PPP2PPP/RNBQ1RK1 b kq - 1 7,1,"{'Move': 'f8e7', 'Centipawn': -1, 'Mate': None}"
r2qkb1r/pppn1ppp/5n2/3p4/3P4/5N2/PPP2PPP/RNBQ1RK1 b kq - 1 7,2,"{'Move': 'c7c6', 'Centipawn': 23, 'Mate': None}"
r2qkb1r/pppn1ppp/5n2/3p4/3P4/5N2/PPP2PPP/RNBQ1RK1 b kq - 1 7,3,"{'Move': 'a7a6', 'Centipawn': 36, 'Mate': None}"
r2qkb1r/pp1n1ppp/5n2/2pp4/3P4/5N2/PPP2PPP/RNBQ1RK1 w kq - 0 8,1,"{'Move': 'f1e1', 'Centipawn': 149, 'Mate': None}"
